,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3
mse_test_IMF1,0.0011740534302672285,0.0014403402058765877,0.001396723692365327,0.0016570746039368588,0.0013207505326287212,0.0008213256490640977,0.0009405697068238009,0.0006905142455488443,0.0006009744986493375
mape_test_IMF1,129.633351003753,120.65644542091691,211.28366088668201,107.33051073516286,148.16855131980807,137.25581284276947,184.40130825597743,118.78010712725298,100.69749475711134
mse_test_IMF2,0.00014929458585661142,9.856394782756982e-05,9.98206041625569e-05,0.0002496098937596343,0.00035327415978656814,0.0002113152465256375,0.0001895156027989139,0.00011381657355572037,0.0002553633437554856
mape_test_IMF2,72.64066842094749,52.84488872021047,99.59567033433902,70.88650445957208,66.7291203808363,77.12319853812295,331.65371173094866,105.63197277882001,114.26534480824438
mse_test_IMF3,1.4590411861727638e-05,2.3779833051342525e-05,2.161801130182846e-05,1.537230636139726e-05,4.89447559990035e-05,0.0004834617427631262,1.6861510186835056e-05,8.410437561843889e-06,8.665462126134939e-06
mape_test_IMF3,26.178496351115076,8.52150917875953,24.075843285612113,19.542128399514098,26.456814437182626,5.743204717627691,34.97869351139054,16.213622529978316,21.830369030783537
mse_test_IMF4,1.565737707752551e-05,2.661217706448344e-05,9.720744332322079e-05,0.0003784376038403046,0.007115553151697514,,2.1235242622228337e-05,6.140065392652877e-05,5.725171166227067e-05
mape_test_IMF4,1.4303889311074833,1.743089694579272,111.2782399567545,9.811524184892624,14.29758060222781,,36.10719073238348,4.401263895107397,1.1595776254631698
mse_test_IMF5,,,0.00011307683397268328,,,,8.362599432523377e-06,6.466251990336998e-07,
mape_test_IMF5,,,3.438098461214756,,,,2.56268698238194,0.1642202423935843,
